In 219 List,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,HCAHPS Answer Percent,HCAHPS Answer Percent Footnote,HCAHPS Linear Mean Value,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate Percent,Survey Response Rate Percent Footnote,Start Date,End Date
YES,330396,WOODHULL MEDICAL & MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,NY,11206,KINGS,(718) 963-8100,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3,,Not Applicable,,Not Applicable,444,,8,,01/01/2024,12/31/2024
YES,330396,WOODHULL MEDICAL & MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,NY,11206,KINGS,(718) 963-8100,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",Not Applicable,,60,,Not Applicable,444,,8,,01/01/2024,12/31/2024
YES,330396,WOODHULL MEDICAL & MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,NY,11206,KINGS,(718) 963-8100,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,2,,Not Applicable,,Not Applicable,444,,8,,01/01/2024,12/31/2024
YES,330396,WOODHULL MEDICAL & MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,NY,11206,KINGS,(718) 963-8100,H_RECMND_PY,"Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",Not Applicable,,32,,Not Applicable,444,,8,,01/01/2024,12/31/2024
YES,330396,WOODHULL MEDICAL & MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,NY,11206,KINGS,(718) 963-8100,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,2,,Not Applicable,,Not Applicable,444,,8,,01/01/2024,12/31/2024
YES,330396,WOODHULL MEDICAL & MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,NY,11206,KINGS,(718) 963-8100,H_STAR_RATING,Summary star rating,Summary star rating,2,,Not Applicable,,Not Applicable,444,,8,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,67,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,2,,Not Applicable,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_NURSE_RESPECT_A_P,"Patients who reported that their nurses ""Always"" treated them with courtesy and respect","Nurses ""always"" treated them with courtesy and  respect",Not Applicable,,76,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_NURSE_LISTEN_A_P,"Patients who reported that their nurses ""Always"" listened carefully to them","Nurses ""always"" listened carefully",Not Applicable,,63,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_NURSE_EXPLAIN_A_P,"Patients who reported that their nurses ""Always"" explained things in a way they could understand","Nurses ""always"" explained things so they could understand",Not Applicable,,63,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",Not Applicable,,71,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,2,,Not Applicable,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_DOCTOR_RESPECT_A_P,"Patients who reported that their doctors ""Always"" treated them with courtesy and respect","Doctors ""always"" treated them with courtesy and  respect",Not Applicable,,77,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_DOCTOR_LISTEN_A_P,"Patients who reported that their doctors ""Always"" listened carefully to them","Doctors ""always"" listened carefully",Not Applicable,,69,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_DOCTOR_EXPLAIN_A_P,"Patients who reported that their doctors ""Always"" explained things in a way they could understand","Doctors ""always"" explained things so they could understand",Not Applicable,,67,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",Not Applicable,,48,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_COMP_3_STAR_RATING,Staff responsiveness - star rating,Staff responsiveness - star rating,1,,Not Applicable,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_CALL_BUTTON_A_P,"Patients who reported that they ""Always"" received help after using the call button as soon as they wanted","Patients ""always"" received call button help as soon as they wanted",Not Applicable,,41,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_BATH_HELP_A_P,"Patients who reported that they ""Always"" received bathroom help as soon as they wanted","Patients ""always"" received bathroom help as soon as they wanted",Not Applicable,,52,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",Not Applicable,,46,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,1,,Not Applicable,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_MED_FOR_A_P,"Patients who reported that when receiving new medication the staff ""Always"" communicated what the medication was for","Staff ""always"" explained new medications",Not Applicable,,60,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_SIDE_EFFECTS_A_P,"Patients who reported that when receiving new medication the staff ""Always"" discussed possible side effects","Staff ""always"" explained possible side effects",Not Applicable,,31,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",Not Applicable,,79,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,2,,Not Applicable,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_DISCH_HELP_Y_P,"Patients who reported that YES, they did discuss whether they would need help after discharge","Yes, staff ""did"" give patients information about help after discharge",Not Applicable,,74,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_SYMPTOMS_Y_P,"Patients who reported that YES, they did receive written information about possible symptoms to look out for after discharge","Yes, staff ""did"" give patients information about possible symptoms",Not Applicable,,83,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_COMP_7_A,"Patients who ""Agree"" they understood their care when they left the hospital","Patients who ""Agree"" they understood their care when they left the hospital",Not Applicable,,59,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_COMP_7_STAR_RATING,Care transition - star rating,Care transition - star rating,1,,Not Applicable,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_CT_PREFER_A,"Patients who ""Agree"" that the staff took my preferences into account when determining my health care needs","Patients who ""Agree"" that staff took their preferences into account",Not Applicable,,64,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_CT_UNDER_A,"Patients who ""Agree"" that they understood their responsiblities in managing their health","Patients who ""Agree"" they understood their responsiblities when they left the hospital",Not Applicable,,61,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_CT_MED_A,"Patients who ""Agree"" that they understood the purposes of their medications when leaving the hospital","Patients who ""Agree"" they understood their medications when they left the hospital",Not Applicable,,54,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",Not Applicable,,71,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,3,,Not Applicable,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",Not Applicable,,46,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,2,,Not Applicable,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",Not Applicable,,59,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,2,,Not Applicable,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_RECMND_PY,"Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",Not Applicable,,34,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,2,,Not Applicable,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,H_STAR_RATING,Summary star rating,Summary star rating,2,,Not Applicable,,Not Applicable,820,,21,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,74,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,2,,Not Applicable,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_NURSE_RESPECT_A_P,"Patients who reported that their nurses ""Always"" treated them with courtesy and respect","Nurses ""always"" treated them with courtesy and  respect",Not Applicable,,82,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_NURSE_LISTEN_A_P,"Patients who reported that their nurses ""Always"" listened carefully to them","Nurses ""always"" listened carefully",Not Applicable,,70,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_NURSE_EXPLAIN_A_P,"Patients who reported that their nurses ""Always"" explained things in a way they could understand","Nurses ""always"" explained things so they could understand",Not Applicable,,69,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",Not Applicable,,72,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,2,,Not Applicable,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_DOCTOR_RESPECT_A_P,"Patients who reported that their doctors ""Always"" treated them with courtesy and respect","Doctors ""always"" treated them with courtesy and  respect",Not Applicable,,80,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_DOCTOR_LISTEN_A_P,"Patients who reported that their doctors ""Always"" listened carefully to them","Doctors ""always"" listened carefully",Not Applicable,,69,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_DOCTOR_EXPLAIN_A_P,"Patients who reported that their doctors ""Always"" explained things in a way they could understand","Doctors ""always"" explained things so they could understand",Not Applicable,,65,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",Not Applicable,,47,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_COMP_3_STAR_RATING,Staff responsiveness - star rating,Staff responsiveness - star rating,1,,Not Applicable,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_CALL_BUTTON_A_P,"Patients who reported that they ""Always"" received help after using the call button as soon as they wanted","Patients ""always"" received call button help as soon as they wanted",Not Applicable,,40,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_BATH_HELP_A_P,"Patients who reported that they ""Always"" received bathroom help as soon as they wanted","Patients ""always"" received bathroom help as soon as they wanted",Not Applicable,,54,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",Not Applicable,,48,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,1,,Not Applicable,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_MED_FOR_A_P,"Patients who reported that when receiving new medication the staff ""Always"" communicated what the medication was for","Staff ""always"" explained new medications",Not Applicable,,62,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_SIDE_EFFECTS_A_P,"Patients who reported that when receiving new medication the staff ""Always"" discussed possible side effects","Staff ""always"" explained possible side effects",Not Applicable,,33,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",Not Applicable,,83,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3,,Not Applicable,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_DISCH_HELP_Y_P,"Patients who reported that YES, they did discuss whether they would need help after discharge","Yes, staff ""did"" give patients information about help after discharge",Not Applicable,,83,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_SYMPTOMS_Y_P,"Patients who reported that YES, they did receive written information about possible symptoms to look out for after discharge","Yes, staff ""did"" give patients information about possible symptoms",Not Applicable,,82,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_COMP_7_A,"Patients who ""Agree"" they understood their care when they left the hospital","Patients who ""Agree"" they understood their care when they left the hospital",Not Applicable,,50,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_COMP_7_STAR_RATING,Care transition - star rating,Care transition - star rating,2,,Not Applicable,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_CT_PREFER_A,"Patients who ""Agree"" that the staff took my preferences into account when determining my health care needs","Patients who ""Agree"" that staff took their preferences into account",Not Applicable,,54,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_CT_UNDER_A,"Patients who ""Agree"" that they understood their responsiblities in managing their health","Patients who ""Agree"" they understood their responsiblities when they left the hospital",Not Applicable,,51,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_CT_MED_A,"Patients who ""Agree"" that they understood the purposes of their medications when leaving the hospital","Patients who ""Agree"" they understood their medications when they left the hospital",Not Applicable,,46,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",Not Applicable,,68,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,2,,Not Applicable,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",Not Applicable,,52,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,2,,Not Applicable,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",Not Applicable,,55,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,2,,Not Applicable,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_RECMND_PY,"Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",Not Applicable,,35,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,2,,Not Applicable,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,330044,WYNN HOSPITAL,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 624-6002,H_STAR_RATING,Summary star rating,Summary star rating,2,,Not Applicable,,Not Applicable,834,,24,,01/01/2024,12/31/2024
YES,331323,WYOMING COUNTY,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-8940,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,Not Available,5,Not Applicable,Not Available,5,Not Available,5,01/01/2024,12/31/2024
YES,331323,WYOMING COUNTY,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-8940,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,Not Available,5,Not Applicable,,Not Applicable,Not Available,5,Not Available,5,01/01/2024,12/31/2024
YES,331323,WYOMING COUNTY,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-8940,H_NURSE_RESPECT_A_P,"Patients who reported that their nurses ""Always"" treated them with courtesy and respect","Nurses ""always"" treated them with courtesy and  respect",Not Applicable,,Not Available,5,Not Applicable,Not Available,5,Not Available,5,01/01/2024,12/31/2024
YES,331323,WYOMING COUNTY,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-8940,H_NURSE_LISTEN_A_P,"Patients who reported that their nurses ""Always"" listened carefully to them","Nurses ""always"" listened carefully",Not Applicable,,Not Available,5,Not Applicable,Not Available,5,Not Available,5,01/01/2024,12/31/2024
YES,331323,WYOMING COUNTY,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-8940,H_NURSE_EXPLAIN_A_P,"Patients who reported that their nurses ""Always"" explained things in a way they could understand","Nurses ""always"" explained things so they could understand",Not Applicable,,Not Available,5,Not Applicable,Not Available,5,Not Available,5,01/01/2024,12/31/2024
YES,331323,WYOMING COUNTY,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-8940,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",Not Applicable,,Not Available,5,Not Applicable,Not Available,5,Not Available,5,01/01/2024,12/31/2024
YES,331323,WYOMING COUNTY,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-8940,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,Not Available,5,Not Applicable,,Not Applicable,Not Available,5,Not Available,5,01/01/2024,12/31/2024
YES,331323,WYOMING COUNTY,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-8940,H_DOCTOR_RESPECT_A_P,"Patients who reported that their doctors ""Always"" treated them with courtesy and respect","Doctors ""always"" treated them with courtesy and  respect",Not Applicable,,Not Available,5,Not Applicable,Not Available,5,Not Available,5,01/01/2024,12/31/2024
