In 219 List,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Measure ID,Measure Name,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Number of Patients,Number of Patients Returned,Footnote,Start Date,End Date
YES,331321,THE UNIVERSITY OF VERMONT HEALTH NETWORK-ALICE HY,"133 PARK STREET, PO BOX 729",MALONE,NY,12953,FRANKLIN,(518) 481-2458,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,331321,THE UNIVERSITY OF VERMONT HEALTH NETWORK-ALICE HY,"133 PARK STREET, PO BOX 729",MALONE,NY,12953,FRANKLIN,(518) 481-2458,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,37,18.3,15.0,22.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,331321,THE UNIVERSITY OF VERMONT HEALTH NETWORK-ALICE HY,"133 PARK STREET, PO BOX 729",MALONE,NY,12953,FRANKLIN,(518) 481-2458,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,70,18.8,15.6,22.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,331321,THE UNIVERSITY OF VERMONT HEALTH NETWORK-ALICE HY,"133 PARK STREET, PO BOX 729",MALONE,NY,12953,FRANKLIN,(518) 481-2458,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,7,07/01/2021,06/30/2024
YES,331321,THE UNIVERSITY OF VERMONT HEALTH NETWORK-ALICE HY,"133 PARK STREET, PO BOX 729",MALONE,NY,12953,FRANKLIN,(518) 481-2458,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,98,15.7,12.8,19.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,(518) 562-7767,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,216,3.8,-8.2,17.5,209,61,,07/01/2021,06/30/2024
YES,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,(518) 562-7767,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,463,69.8,57.4,82.6,367,139,,07/01/2021,06/30/2024
YES,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,(518) 562-7767,EDAC_30_PN,Hospital return days for pneumonia patients,Fewer Days Than Average per 100 Discharges,410,-26,-34.5,-16.6,363,88,,07/01/2021,06/30/2024
YES,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,(518) 562-7767,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Worse Than the National Rate,1713,16.4,15.2,17.6,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,(518) 562-7767,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,1911,11.4,8.9,14.7,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,(518) 562-7767,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,202,10.3,7.6,13.8,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,(518) 562-7767,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,202,6,4.1,8.8,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,(518) 562-7767,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Better than expected,727,0.7,0.5,1,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,(518) 562-7767,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,216,14.1,11.5,17.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,(518) 562-7767,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,(518) 562-7767,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,185,18.5,15.8,21.8,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,(518) 562-7767,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,463,20.8,18.3,23.5,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,(518) 562-7767,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,30,5.2,3.2,8.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,(518) 562-7767,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,410,14,11.8,16.5,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,331302,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,(518) 873-6377,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
YES,331302,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,(518) 873-6377,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,25,4.3,-24.6,44.5,24,7,,07/01/2021,06/30/2024
YES,331302,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,(518) 873-6377,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,70,18.1,-0.8,42.2,59,22,,07/01/2021,06/30/2024
YES,331302,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,(518) 873-6377,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,197,15.3,13.4,17.6,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,331302,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,(518) 873-6377,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2021,12/31/2023
YES,331302,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,(518) 873-6377,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2023,12/31/2023
YES,331302,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,(518) 873-6377,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2023,12/31/2023
YES,331302,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,(518) 873-6377,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,7,01/01/2023,12/31/2023
YES,331302,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,(518) 873-6377,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,331302,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,(518) 873-6377,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,331302,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,(518) 873-6377,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,27,19,15.3,23.5,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,331302,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,(518) 873-6377,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,25,19.8,15.9,24.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,331302,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,(518) 873-6377,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,331302,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,(518) 873-6377,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,70,16.9,13.7,21.0,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,EDAC_30_AMI,Hospital return days for heart attack patients,More Days Than Average per 100 Discharges,210,27.8,13.6,42.8,202,57,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,375,15.9,4,28.6,327,94,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,498,21.8,12.1,31.9,442,112,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,2300,15.1,14.1,16.2,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,1583,11.2,8.5,14.7,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,235,11,8.4,14.6,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,235,4.8,3.4,7,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Worse than expected,540,1.3,1,1.7,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,210,13.6,11.2,16.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,58,10.8,7.7,14.8,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,97,18,14.8,21.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,375,18.7,16.1,21.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,107,4.4,2.7,6.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,498,16.4,14.2,19.0,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,EDAC_30_AMI,Hospital return days for heart attack patients,More Days Than Average per 100 Discharges,210,27.8,13.6,42.8,202,57,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,375,15.9,4,28.6,327,94,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,498,21.8,12.1,31.9,442,112,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,2300,15.1,14.1,16.2,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,1583,11.2,8.5,14.7,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,235,11,8.4,14.6,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,235,4.8,3.4,7,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Worse than expected,540,1.3,1,1.7,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,210,13.6,11.2,16.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,58,10.8,7.7,14.8,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,97,18,14.8,21.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,375,18.7,16.1,21.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,107,4.4,2.7,6.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,498,16.4,14.2,19.0,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,100,11.2,-10.9,35.5,79,31,,07/01/2021,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,128,35.8,17,57.2,111,29,,07/01/2021,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,523,14.7,13.2,16.4,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,424,14.3,10.6,19.4,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,29,11.7,8.1,16.6,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,29,5.2,3.2,8.3,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,151,1.2,0.8,1.9,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,65,19.1,16.0,22.7,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,100,20.6,17.1,24.5,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,128,16.9,14.1,20.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,100,11.2,-10.9,35.5,79,31,,07/01/2021,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,128,35.8,17,57.2,111,29,,07/01/2021,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,523,14.7,13.2,16.4,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,424,14.3,10.6,19.4,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,29,11.7,8.1,16.6,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,29,5.2,3.2,8.3,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,151,1.2,0.8,1.9,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,(585) 343-6030,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
